tiporegistro,codformato,codcolumna,codcaptura,codsubcuenta,signo,valor,periodo
4,205,3,1,10,+,2,02/28/2019 12:00:00 AM
4,205,3,1,15,-,4,02/28/2019 12:00:00 AM
4,205,3,2,5,+,"1,089",02/28/2019 12:00:00 AM
4,205,3,3,5,+,"10,852",02/28/2019 12:00:00 AM
4,205,4,1,5,+,659,02/28/2019 12:00:00 AM
4,205,4,1,10,+,1,02/28/2019 12:00:00 AM
4,205,4,1,15,-,4,02/28/2019 12:00:00 AM
4,205,4,2,5,+,656,02/28/2019 12:00:00 AM
4,205,4,3,5,+,"3,546",02/28/2019 12:00:00 AM
4,205,5,1,5,+,88,02/28/2019 12:00:00 AM
4,205,5,1,10,+,0,02/28/2019 12:00:00 AM
4,205,5,1,20,+,3,02/28/2019 12:00:00 AM
4,205,5,1,25,-,0,02/28/2019 12:00:00 AM
4,205,5,2,5,+,91,02/28/2019 12:00:00 AM
4,205,5,3,5,+,473,02/28/2019 12:00:00 AM
4,205,6,1,5,+,531,02/28/2019 12:00:00 AM
4,205,6,1,10,+,0,02/28/2019 12:00:00 AM
4,205,6,1,20,+,4,02/28/2019 12:00:00 AM
4,205,6,1,25,-,4,02/28/2019 12:00:00 AM
4,205,6,2,5,+,531,02/28/2019 12:00:00 AM
4,205,6,3,5,+,"4,797",02/28/2019 12:00:00 AM
4,205,7,1,5,+,"1,879",02/28/2019 12:00:00 AM
4,205,7,1,10,+,0,02/28/2019 12:00:00 AM
4,205,7,1,15,-,6,02/28/2019 12:00:00 AM
4,205,7,1,20,+,0,02/28/2019 12:00:00 AM
4,205,7,1,25,-,3,02/28/2019 12:00:00 AM
4,205,7,2,5,+,"1,870",02/28/2019 12:00:00 AM
4,205,7,3,5,+,"31,285",02/28/2019 12:00:00 AM
4,205,1,1,5,+,23,01/30/2019 12:00:00 AM
4,205,1,1,10,+,0,01/30/2019 12:00:00 AM
4,205,1,1,15,-,0,01/30/2019 12:00:00 AM
4,205,1,2,5,+,23,01/30/2019 12:00:00 AM
4,205,1,3,5,+,139,01/30/2019 12:00:00 AM
4,205,2,1,5,+,8,01/30/2019 12:00:00 AM
4,205,2,1,10,+,0,01/30/2019 12:00:00 AM
4,205,2,1,15,-,0,01/30/2019 12:00:00 AM
4,205,2,2,5,+,8,01/30/2019 12:00:00 AM
4,205,2,3,5,+,23,01/30/2019 12:00:00 AM
4,205,3,1,5,+,"1,097",01/30/2019 12:00:00 AM
4,205,3,1,10,+,1,01/30/2019 12:00:00 AM
4,205,3,1,15,-,4,01/30/2019 12:00:00 AM
4,205,3,2,5,+,"1,094",01/30/2019 12:00:00 AM
4,205,3,3,5,+,"10,755",01/30/2019 12:00:00 AM
4,205,4,1,5,+,658,01/30/2019 12:00:00 AM
4,205,4,1,10,+,1,01/30/2019 12:00:00 AM
4,205,4,1,15,-,0,01/30/2019 12:00:00 AM
4,205,4,2,5,+,659,01/30/2019 12:00:00 AM
4,205,4,3,5,+,"3,538",01/30/2019 12:00:00 AM
4,205,5,1,5,+,88,01/30/2019 12:00:00 AM
4,205,5,1,10,+,0,01/30/2019 12:00:00 AM
4,205,5,1,20,+,0,01/30/2019 12:00:00 AM
4,205,5,1,25,-,1,01/30/2019 12:00:00 AM
4,205,5,2,5,+,87,01/30/2019 12:00:00 AM
4,205,5,3,5,+,463,01/30/2019 12:00:00 AM
4,205,6,1,5,+,527,01/30/2019 12:00:00 AM
4,205,6,1,10,+,0,01/30/2019 12:00:00 AM
4,205,6,1,20,+,3,01/30/2019 12:00:00 AM
4,205,6,1,25,-,1,01/30/2019 12:00:00 AM
4,205,6,2,5,+,529,01/30/2019 12:00:00 AM
4,205,6,3,5,+,"4,727",01/30/2019 12:00:00 AM
4,205,7,1,5,+,"1,876",01/30/2019 12:00:00 AM
4,205,7,1,10,+,0,01/30/2019 12:00:00 AM
4,205,7,1,15,-,4,01/30/2019 12:00:00 AM
4,205,7,1,20,+,3,01/30/2019 12:00:00 AM
4,205,7,1,25,-,2,01/30/2019 12:00:00 AM
4,205,7,2,5,+,"1,873",01/30/2019 12:00:00 AM
4,205,7,3,5,+,"30,815",01/30/2019 12:00:00 AM
4,205,1,1,5,+,23,12/30/2018 12:00:00 AM
4,205,1,1,10,+,0,12/30/2018 12:00:00 AM
4,205,1,1,15,-,0,12/30/2018 12:00:00 AM
4,205,1,2,5,+,23,12/30/2018 12:00:00 AM
4,205,1,3,5,+,264,12/30/2018 12:00:00 AM
4,205,2,1,5,+,8,12/30/2018 12:00:00 AM
4,205,2,1,10,+,0,12/30/2018 12:00:00 AM
4,205,2,1,15,-,0,12/30/2018 12:00:00 AM
4,205,2,2,5,+,8,12/30/2018 12:00:00 AM
4,205,2,3,5,+,44,12/30/2018 12:00:00 AM
4,205,3,1,5,+,"1,094",12/30/2018 12:00:00 AM
4,205,3,1,10,+,4,12/30/2018 12:00:00 AM
4,205,3,1,15,-,1,12/30/2018 12:00:00 AM
4,205,3,2,5,+,"1,097",12/30/2018 12:00:00 AM
4,205,3,3,5,+,"20,894",12/30/2018 12:00:00 AM
4,205,4,1,5,+,656,12/30/2018 12:00:00 AM
4,205,4,1,10,+,3,12/30/2018 12:00:00 AM
4,205,4,1,15,-,1,12/30/2018 12:00:00 AM
4,205,4,2,5,+,658,12/30/2018 12:00:00 AM
4,205,4,3,5,+,"6,810",12/30/2018 12:00:00 AM
4,205,5,1,5,+,87,12/30/2018 12:00:00 AM
4,205,5,1,10,+,0,12/30/2018 12:00:00 AM
4,205,5,1,20,+,1,12/30/2018 12:00:00 AM
4,205,5,1,25,-,0,12/30/2018 12:00:00 AM
4,205,5,2,5,+,88,12/30/2018 12:00:00 AM
4,205,5,3,5,+,916,12/30/2018 12:00:00 AM
4,205,6,1,5,+,521,12/30/2018 12:00:00 AM
4,205,6,1,10,+,0,12/30/2018 12:00:00 AM
4,205,6,1,20,+,7,12/30/2018 12:00:00 AM
4,205,6,1,25,-,1,12/30/2018 12:00:00 AM
4,205,6,2,5,+,527,12/30/2018 12:00:00 AM
4,205,6,3,5,+,"9,072",12/30/2018 12:00:00 AM
4,205,7,1,5,+,"2,389",12/30/2018 12:00:00 AM
4,205,7,1,10,+,7,12/30/2018 12:00:00 AM
4,205,7,1,15,-,2,12/30/2018 12:00:00 AM
4,205,7,1,20,+,8,12/30/2018 12:00:00 AM
4,205,7,1,25,-,1,12/30/2018 12:00:00 AM
4,205,7,2,5,+,"2,401",12/30/2018 12:00:00 AM
4,205,7,3,5,+,"38,000",12/30/2018 12:00:00 AM
4,205,1,1,5,+,23,11/30/2018 12:00:00 AM
4,205,1,1,10,+,0,11/30/2018 12:00:00 AM
4,205,1,1,15,-,0,11/30/2018 12:00:00 AM
4,205,1,2,5,+,23,11/30/2018 12:00:00 AM
4,205,1,3,5,+,135,11/30/2018 12:00:00 AM
4,205,2,1,5,+,8,11/30/2018 12:00:00 AM
4,205,2,1,10,+,0,11/30/2018 12:00:00 AM
4,205,2,1,15,-,0,11/30/2018 12:00:00 AM
4,205,2,2,5,+,8,11/30/2018 12:00:00 AM
4,205,2,3,5,+,22,11/30/2018 12:00:00 AM
4,205,3,1,5,+,"1,094",11/30/2018 12:00:00 AM
4,205,3,1,10,+,2,11/30/2018 12:00:00 AM
4,205,3,1,15,-,2,11/30/2018 12:00:00 AM
4,205,3,2,5,+,"1,094",11/30/2018 12:00:00 AM
4,205,3,3,5,+,"10,421",11/30/2018 12:00:00 AM
4,205,4,1,5,+,654,11/30/2018 12:00:00 AM
4,205,4,1,10,+,2,11/30/2018 12:00:00 AM
4,205,4,1,15,-,0,11/30/2018 12:00:00 AM
4,205,4,2,5,+,656,11/30/2018 12:00:00 AM
4,205,4,3,5,+,"3,432",11/30/2018 12:00:00 AM
4,205,5,1,5,+,88,11/30/2018 12:00:00 AM
4,205,5,1,10,+,0,11/30/2018 12:00:00 AM
4,205,5,1,20,+,2,11/30/2018 12:00:00 AM
4,205,5,1,25,-,3,11/30/2018 12:00:00 AM
4,205,5,2,5,+,87,11/30/2018 12:00:00 AM
4,205,5,3,5,+,458,11/30/2018 12:00:00 AM
4,205,6,1,5,+,517,11/30/2018 12:00:00 AM
4,205,6,1,10,+,0,11/30/2018 12:00:00 AM
4,205,6,1,20,+,5,11/30/2018 12:00:00 AM
4,205,6,1,25,-,1,11/30/2018 12:00:00 AM
4,205,6,2,5,+,521,11/30/2018 12:00:00 AM
4,205,6,3,5,+,"4,494",11/30/2018 12:00:00 AM
4,205,7,1,5,+,"2,384",11/30/2018 12:00:00 AM
4,205,7,1,10,+,4,11/30/2018 12:00:00 AM
4,205,7,1,15,-,2,11/30/2018 12:00:00 AM
4,205,7,1,20,+,7,11/30/2018 12:00:00 AM
4,205,7,1,25,-,4,11/30/2018 12:00:00 AM
4,205,7,2,5,+,"2,389",11/30/2018 12:00:00 AM
4,205,7,3,5,+,"18,962",11/30/2018 12:00:00 AM
4,205,1,1,5,+,23,10/30/2018 12:00:00 AM
4,205,1,1,10,+,0,10/30/2018 12:00:00 AM
4,205,1,1,15,-,0,10/30/2018 12:00:00 AM
4,205,1,2,5,+,23,10/30/2018 12:00:00 AM
4,205,1,3,5,+,135,10/30/2018 12:00:00 AM
4,205,2,1,5,+,8,10/30/2018 12:00:00 AM
4,205,2,1,10,+,0,10/30/2018 12:00:00 AM
4,205,2,1,15,-,0,10/30/2018 12:00:00 AM
4,205,2,2,5,+,8,10/30/2018 12:00:00 AM
4,205,2,3,5,+,22,10/30/2018 12:00:00 AM
4,205,3,1,5,+,"1,098",10/30/2018 12:00:00 AM
4,205,3,1,10,+,2,10/30/2018 12:00:00 AM
4,205,3,1,15,-,6,10/30/2018 12:00:00 AM
4,205,3,2,5,+,"1,094",10/30/2018 12:00:00 AM
4,205,3,3,5,+,"10,417",10/30/2018 12:00:00 AM
4,205,4,1,5,+,653,10/30/2018 12:00:00 AM
4,205,4,1,10,+,3,10/30/2018 12:00:00 AM
4,205,4,1,15,-,2,10/30/2018 12:00:00 AM
4,205,4,2,5,+,654,10/30/2018 12:00:00 AM
4,205,4,3,5,+,"3,395",10/30/2018 12:00:00 AM
4,205,5,1,5,+,89,10/30/2018 12:00:00 AM
4,205,5,1,10,+,0,10/30/2018 12:00:00 AM
4,205,5,1,20,+,0,10/30/2018 12:00:00 AM
4,205,5,1,25,-,1,10/30/2018 12:00:00 AM
4,205,5,2,5,+,88,10/30/2018 12:00:00 AM
4,205,5,3,5,+,435,10/30/2018 12:00:00 AM
4,205,6,1,5,+,517,10/30/2018 12:00:00 AM
4,205,6,1,10,+,0,10/30/2018 12:00:00 AM
4,205,6,1,20,+,2,10/30/2018 12:00:00 AM
4,205,6,1,25,-,2,10/30/2018 12:00:00 AM
4,205,6,2,5,+,517,10/30/2018 12:00:00 AM
4,205,6,3,5,+,"4,476",10/30/2018 12:00:00 AM
4,205,7,1,5,+,"2,388",10/30/2018 12:00:00 AM
4,205,7,1,10,+,5,10/30/2018 12:00:00 AM
4,205,7,1,15,-,8,10/30/2018 12:00:00 AM
4,205,7,1,20,+,2,10/30/2018 12:00:00 AM
4,205,7,1,25,-,3,10/30/2018 12:00:00 AM
4,205,7,2,5,+,"2,384",10/30/2018 12:00:00 AM
4,205,7,3,5,+,"18,880",10/30/2018 12:00:00 AM
4,205,1,1,5,+,23,09/30/2018 12:00:00 AM
4,205,1,1,10,+,0,09/30/2018 12:00:00 AM
4,205,1,1,15,-,0,09/30/2018 12:00:00 AM
4,205,1,2,5,+,23,09/30/2018 12:00:00 AM
4,205,1,3,5,+,135,09/30/2018 12:00:00 AM
4,205,2,1,5,+,8,09/30/2018 12:00:00 AM
4,205,2,1,10,+,0,09/30/2018 12:00:00 AM
4,205,2,1,15,-,0,09/30/2018 12:00:00 AM
4,205,2,2,5,+,8,09/30/2018 12:00:00 AM
4,205,2,3,5,+,22,09/30/2018 12:00:00 AM
4,205,3,1,5,+,"1,098",09/30/2018 12:00:00 AM
4,205,3,1,10,+,2,09/30/2018 12:00:00 AM
4,205,3,1,15,-,2,09/30/2018 12:00:00 AM
4,205,3,2,5,+,"1,098",09/30/2018 12:00:00 AM
4,205,3,3,5,+,"10,451",09/30/2018 12:00:00 AM
4,205,4,1,5,+,652,09/30/2018 12:00:00 AM
4,205,4,1,10,+,1,09/30/2018 12:00:00 AM
4,205,4,1,15,-,0,09/30/2018 12:00:00 AM
4,205,4,2,5,+,653,09/30/2018 12:00:00 AM
4,205,4,3,5,+,"3,386",09/30/2018 12:00:00 AM
4,205,5,1,5,+,92,09/30/2018 12:00:00 AM
4,205,5,1,10,+,0,09/30/2018 12:00:00 AM
4,205,5,1,20,+,0,09/30/2018 12:00:00 AM
4,205,5,1,25,-,3,09/30/2018 12:00:00 AM
4,205,5,2,5,+,89,09/30/2018 12:00:00 AM
4,205,5,3,5,+,436,09/30/2018 12:00:00 AM
4,205,6,1,5,+,520,09/30/2018 12:00:00 AM
4,205,6,1,10,+,0,09/30/2018 12:00:00 AM
4,205,6,1,20,+,3,09/30/2018 12:00:00 AM
4,205,6,1,25,-,6,09/30/2018 12:00:00 AM
4,205,6,2,5,+,517,09/30/2018 12:00:00 AM
4,205,6,3,5,+,"4,490",09/30/2018 12:00:00 AM
4,205,7,1,5,+,"2,393",09/30/2018 12:00:00 AM
4,205,7,1,10,+,3,09/30/2018 12:00:00 AM
4,205,7,1,15,-,2,09/30/2018 12:00:00 AM
4,205,7,1,20,+,3,09/30/2018 12:00:00 AM
4,205,7,1,25,-,9,09/30/2018 12:00:00 AM
4,205,7,2,5,+,"2,388",09/30/2018 12:00:00 AM
4,205,7,3,5,+,"18,920",09/30/2018 12:00:00 AM
4,205,1,1,5,+,23,08/30/2018 12:00:00 AM
4,205,1,1,10,+,0,08/30/2018 12:00:00 AM
4,205,1,1,15,-,0,08/30/2018 12:00:00 AM
4,205,1,2,5,+,23,08/30/2018 12:00:00 AM
4,205,1,3,5,+,135,08/30/2018 12:00:00 AM
4,205,2,1,5,+,8,08/30/2018 12:00:00 AM
4,205,2,1,10,+,0,08/30/2018 12:00:00 AM
4,205,2,1,15,-,0,08/30/2018 12:00:00 AM
4,205,2,2,5,+,8,08/30/2018 12:00:00 AM
4,205,2,3,5,+,22,08/30/2018 12:00:00 AM
4,205,3,1,5,+,"1,089",08/30/2018 12:00:00 AM
4,205,3,1,10,+,13,08/30/2018 12:00:00 AM
4,205,3,1,15,-,4,08/30/2018 12:00:00 AM
4,205,3,2,5,+,"1,098",08/30/2018 12:00:00 AM
4,205,3,3,5,+,"10,419",08/30/2018 12:00:00 AM
4,205,4,1,5,+,651,08/30/2018 12:00:00 AM
4,205,4,1,10,+,2,08/30/2018 12:00:00 AM
4,205,4,1,15,-,1,08/30/2018 12:00:00 AM
4,205,4,2,5,+,652,08/30/2018 12:00:00 AM
4,205,4,3,5,+,"3,373",08/30/2018 12:00:00 AM
4,205,5,1,5,+,92,08/30/2018 12:00:00 AM
4,205,5,1,10,+,0,08/30/2018 12:00:00 AM
4,205,5,1,20,+,0,08/30/2018 12:00:00 AM
4,205,5,1,25,-,0,08/30/2018 12:00:00 AM
4,205,5,2,5,+,92,08/30/2018 12:00:00 AM
4,205,5,3,5,+,443,08/30/2018 12:00:00 AM
4,205,6,1,5,+,522,08/30/2018 12:00:00 AM
4,205,6,1,10,+,0,08/30/2018 12:00:00 AM
4,205,6,1,20,+,2,08/30/2018 12:00:00 AM
4,205,6,1,25,-,4,08/30/2018 12:00:00 AM
4,205,6,2,5,+,520,08/30/2018 12:00:00 AM
4,205,6,3,5,+,"4,486",08/30/2018 12:00:00 AM
4,205,7,1,5,+,"2,385",08/30/2018 12:00:00 AM
4,205,7,1,10,+,15,08/30/2018 12:00:00 AM
4,205,7,1,15,-,5,08/30/2018 12:00:00 AM
4,205,7,1,20,+,2,08/30/2018 12:00:00 AM
4,205,7,1,25,-,4,08/30/2018 12:00:00 AM
4,205,7,2,5,+,"2,393",08/30/2018 12:00:00 AM
4,205,7,3,5,+,"18,878",08/30/2018 12:00:00 AM
4,205,1,1,10,+,0,07/30/2018 12:00:00 AM
4,205,1,1,15,-,0,07/30/2018 12:00:00 AM
4,205,1,2,5,+,23,07/30/2018 12:00:00 AM
4,205,1,3,5,+,135,07/30/2018 12:00:00 AM
4,205,2,1,5,+,8,07/30/2018 12:00:00 AM
4,205,2,1,10,+,0,07/30/2018 12:00:00 AM
4,205,2,1,15,-,0,07/30/2018 12:00:00 AM
4,205,2,2,5,+,8,07/30/2018 12:00:00 AM
4,205,2,3,5,+,22,07/30/2018 12:00:00 AM
4,205,3,1,5,+,"1,091",07/30/2018 12:00:00 AM
4,205,3,1,10,+,1,07/30/2018 12:00:00 AM
4,205,3,1,15,-,3,07/30/2018 12:00:00 AM
4,205,3,2,5,+,"1,089",07/30/2018 12:00:00 AM
4,205,3,3,5,+,"10,212",07/30/2018 12:00:00 AM
4,205,4,1,5,+,651,07/30/2018 12:00:00 AM
4,205,4,1,10,+,1,07/30/2018 12:00:00 AM
4,205,4,1,15,-,1,07/30/2018 12:00:00 AM
4,205,4,2,5,+,651,07/30/2018 12:00:00 AM
4,205,4,3,5,+,"3,343",07/30/2018 12:00:00 AM
4,205,5,1,5,+,92,07/30/2018 12:00:00 AM
4,205,5,1,10,+,0,07/30/2018 12:00:00 AM
4,205,5,1,20,+,0,07/30/2018 12:00:00 AM
4,205,5,1,25,-,0,07/30/2018 12:00:00 AM
4,205,5,2,5,+,92,07/30/2018 12:00:00 AM
4,205,5,3,5,+,443,07/30/2018 12:00:00 AM
4,205,6,1,5,+,520,07/30/2018 12:00:00 AM
4,205,6,1,10,+,0,07/30/2018 12:00:00 AM
4,205,6,1,20,+,3,07/30/2018 12:00:00 AM
4,205,6,1,25,-,1,07/30/2018 12:00:00 AM
4,205,6,2,5,+,522,07/30/2018 12:00:00 AM
4,205,6,3,5,+,"4,498",07/30/2018 12:00:00 AM
4,205,7,1,5,+,"2,385",07/30/2018 12:00:00 AM
4,205,7,1,10,+,2,07/30/2018 12:00:00 AM
4,205,7,1,15,-,4,07/30/2018 12:00:00 AM
4,205,7,1,20,+,3,07/30/2018 12:00:00 AM
4,205,7,1,25,-,1,07/30/2018 12:00:00 AM
4,205,7,2,5,+,"2,385",07/30/2018 12:00:00 AM
4,205,7,3,5,+,"18,653",07/30/2018 12:00:00 AM
4,205,1,1,5,+,23,06/30/2018 12:00:00 AM
4,205,1,1,10,+,0,06/30/2018 12:00:00 AM
4,205,1,1,15,-,0,06/30/2018 12:00:00 AM
4,205,1,2,5,+,23,06/30/2018 12:00:00 AM
4,205,1,3,5,+,210,06/30/2018 12:00:00 AM
4,205,2,1,5,+,8,06/30/2018 12:00:00 AM
4,205,2,1,10,+,0,06/30/2018 12:00:00 AM
4,205,2,1,15,-,0,06/30/2018 12:00:00 AM
4,205,2,2,5,+,8,06/30/2018 12:00:00 AM
4,205,2,3,5,+,38,06/30/2018 12:00:00 AM
4,205,3,1,5,+,"1,092",06/30/2018 12:00:00 AM
4,205,3,1,10,+,1,06/30/2018 12:00:00 AM
4,205,3,1,15,-,2,06/30/2018 12:00:00 AM
4,205,3,2,5,+,"1,091",06/30/2018 12:00:00 AM
4,205,3,3,5,+,"15,879",06/30/2018 12:00:00 AM
4,205,4,1,5,+,650,06/30/2018 12:00:00 AM
4,205,4,1,10,+,1,06/30/2018 12:00:00 AM
4,205,4,1,15,-,0,06/30/2018 12:00:00 AM
4,205,4,2,5,+,651,06/30/2018 12:00:00 AM
4,205,4,3,5,+,"5,056",06/30/2018 12:00:00 AM
4,205,5,1,5,+,91,06/30/2018 12:00:00 AM
4,205,5,1,10,+,0,06/30/2018 12:00:00 AM
4,205,5,1,20,+,1,06/30/2018 12:00:00 AM
4,205,5,1,25,-,0,06/30/2018 12:00:00 AM
4,205,5,2,5,+,92,06/30/2018 12:00:00 AM
4,205,5,3,5,+,763,06/30/2018 12:00:00 AM
4,205,6,1,5,+,518,06/30/2018 12:00:00 AM
4,205,6,1,10,+,0,06/30/2018 12:00:00 AM
4,205,6,1,20,+,5,06/30/2018 12:00:00 AM
4,205,6,1,25,-,3,06/30/2018 12:00:00 AM
4,205,6,2,5,+,520,06/30/2018 12:00:00 AM
4,205,6,3,5,+,"7,711",06/30/2018 12:00:00 AM
4,205,7,1,5,+,"2,382",06/30/2018 12:00:00 AM
4,205,7,1,10,+,2,06/30/2018 12:00:00 AM
4,205,7,1,15,-,2,06/30/2018 12:00:00 AM
4,205,7,1,20,+,6,06/30/2018 12:00:00 AM
4,205,7,1,25,-,3,06/30/2018 12:00:00 AM
4,205,7,2,5,+,"2,385",06/30/2018 12:00:00 AM
4,205,7,3,5,+,"29,657",06/30/2018 12:00:00 AM
4,205,1,1,5,+,23,05/30/2018 12:00:00 AM
4,205,1,1,10,+,0,05/30/2018 12:00:00 AM
4,205,1,1,15,-,0,05/30/2018 12:00:00 AM
4,205,1,2,5,+,23,05/30/2018 12:00:00 AM
4,205,1,3,5,+,135,05/30/2018 12:00:00 AM
4,205,2,1,5,+,8,05/30/2018 12:00:00 AM
4,205,2,1,10,+,0,05/30/2018 12:00:00 AM
4,205,2,1,15,-,0,05/30/2018 12:00:00 AM
4,205,2,2,5,+,8,05/30/2018 12:00:00 AM
4,205,2,3,5,+,22,05/30/2018 12:00:00 AM
4,205,3,1,5,+,"1,096",05/30/2018 12:00:00 AM
4,205,3,1,10,+,0,05/30/2018 12:00:00 AM
4,205,3,1,15,-,4,05/30/2018 12:00:00 AM
4,205,3,2,5,+,"1,092",05/30/2018 12:00:00 AM
4,205,3,3,5,+,"10,246",05/30/2018 12:00:00 AM
4,205,4,1,5,+,648,05/30/2018 12:00:00 AM
4,205,4,1,10,+,2,05/30/2018 12:00:00 AM
4,205,4,1,15,-,0,05/30/2018 12:00:00 AM
4,205,4,2,5,+,650,05/30/2018 12:00:00 AM
4,205,4,3,5,+,"3,347",05/30/2018 12:00:00 AM
4,205,5,1,5,+,93,05/30/2018 12:00:00 AM
4,205,5,1,10,+,0,05/30/2018 12:00:00 AM
4,205,5,1,20,+,0,05/30/2018 12:00:00 AM
4,205,5,1,25,-,2,05/30/2018 12:00:00 AM
4,205,5,2,5,+,91,05/30/2018 12:00:00 AM
4,205,5,3,5,+,434,05/30/2018 12:00:00 AM
4,205,6,1,5,+,517,05/30/2018 12:00:00 AM
4,205,6,1,10,+,0,05/30/2018 12:00:00 AM
4,205,6,1,20,+,4,05/30/2018 12:00:00 AM
4,205,6,1,25,-,3,05/30/2018 12:00:00 AM
4,205,6,2,5,+,518,05/30/2018 12:00:00 AM
4,205,6,3,5,+,"4,434",05/30/2018 12:00:00 AM
4,205,7,1,5,+,"2,385",05/30/2018 12:00:00 AM
4,205,7,1,10,+,2,05/30/2018 12:00:00 AM
4,205,7,1,15,-,4,05/30/2018 12:00:00 AM
4,205,7,1,20,+,4,05/30/2018 12:00:00 AM
4,205,7,1,25,-,5,05/30/2018 12:00:00 AM
4,205,7,2,5,+,"2,382",05/30/2018 12:00:00 AM
4,205,7,3,5,+,"18,618",05/30/2018 12:00:00 AM
4,205,1,1,5,+,22,04/30/2018 12:00:00 AM
4,205,1,1,10,+,1,04/30/2018 12:00:00 AM
4,205,1,1,15,-,0,04/30/2018 12:00:00 AM
4,205,1,2,5,+,23,04/30/2018 12:00:00 AM
4,205,1,3,5,+,135,04/30/2018 12:00:00 AM
4,205,2,1,5,+,8,04/30/2018 12:00:00 AM
4,205,2,1,10,+,0,04/30/2018 12:00:00 AM
4,205,2,1,15,-,0,04/30/2018 12:00:00 AM
4,205,2,2,5,+,8,04/30/2018 12:00:00 AM
4,205,2,3,5,+,22,04/30/2018 12:00:00 AM
4,205,3,1,5,+,"1,098",04/30/2018 12:00:00 AM
4,205,3,1,10,+,2,04/30/2018 12:00:00 AM
4,205,3,1,15,-,4,04/30/2018 12:00:00 AM
4,205,3,2,5,+,"1,096",04/30/2018 12:00:00 AM
4,205,3,3,5,+,"10,269",04/30/2018 12:00:00 AM
4,205,4,1,5,+,648,04/30/2018 12:00:00 AM
4,205,4,1,10,+,1,04/30/2018 12:00:00 AM
4,205,4,1,15,-,1,04/30/2018 12:00:00 AM
4,205,4,2,5,+,648,04/30/2018 12:00:00 AM
4,205,4,3,5,+,"3,338",04/30/2018 12:00:00 AM
4,205,5,1,5,+,92,04/30/2018 12:00:00 AM
4,205,5,1,10,+,0,04/30/2018 12:00:00 AM
4,205,5,1,20,+,1,04/30/2018 12:00:00 AM
4,205,5,1,25,-,0,04/30/2018 12:00:00 AM
